mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.03312129974365234,0.04139831578412585,9.659582614898682,0.1664975507519105,1,1,uniform,"{'n_neighbors': 1, 'p': 1, 'weights': 'uniform'}",0.4878571428571429,0.5033333333333333,0.5007142857142857,0.495,0.4930952380952381,0.496,0.0055090113767540996,35
0.011991357803344727,0.00034115769606994894,9.447755813598633,0.1222036164493901,1,1,distance,"{'n_neighbors': 1, 'p': 1, 'weights': 'distance'}",0.4878571428571429,0.5033333333333333,0.5007142857142857,0.495,0.4930952380952381,0.496,0.0055090113767540996,35
0.012106847763061524,0.0002428508474185868,1.5999990940093993,0.020989371017973817,1,2,uniform,"{'n_neighbors': 1, 'p': 2, 'weights': 'uniform'}",0.835,0.8376190476190476,0.8485714285714285,0.840952380952381,0.8471428571428572,0.8418571428571429,0.0052691718832849855,21
0.012048625946044922,0.0003567568216646817,1.5421727657318116,0.07776170460798926,1,2,distance,"{'n_neighbors': 1, 'p': 2, 'weights': 'distance'}",0.835,0.8376190476190476,0.8485714285714285,0.840952380952381,0.8471428571428572,0.8418571428571429,0.0052691718832849855,21
0.012616539001464843,0.0010642477098466551,9.524640035629272,0.12149248830644259,2,1,uniform,"{'n_neighbors': 2, 'p': 1, 'weights': 'uniform'}",0.42404761904761906,0.43714285714285717,0.44166666666666665,0.43238095238095237,0.42857142857142855,0.4327619047619048,0.006198895373764205,41
0.011843442916870117,0.0002827290115554655,9.409143972396851,0.06281949972639551,2,1,distance,"{'n_neighbors': 2, 'p': 1, 'weights': 'distance'}",0.4878571428571429,0.5033333333333333,0.5007142857142857,0.495,0.4930952380952381,0.496,0.0055090113767540996,35
0.011887454986572265,0.00010019489089065424,1.665458583831787,0.01592355502601121,2,2,uniform,"{'n_neighbors': 2, 'p': 2, 'weights': 'uniform'}",0.8347619047619048,0.8369047619047619,0.8407142857142857,0.8304761904761905,0.8383333333333334,0.8362380952380952,0.00347129466068717,28
0.012114477157592774,0.0003493457679595119,1.6010549068450928,0.0574821147530902,2,2,distance,"{'n_neighbors': 2, 'p': 2, 'weights': 'distance'}",0.835,0.8376190476190476,0.8485714285714285,0.840952380952381,0.8471428571428572,0.8418571428571429,0.0052691718832849855,21
0.011938905715942383,0.00010374146626192937,9.508227252960205,0.09610013200588118,3,1,uniform,"{'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.42547619047619045,0.43857142857142856,0.43857142857142856,0.43404761904761907,0.4297619047619048,0.4332857142857143,0.005096350568362251,40
0.01206035614013672,0.0004684793286010708,9.46511492729187,0.13778246975262612,3,1,distance,"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.43047619047619046,0.44571428571428573,0.44642857142857145,0.43738095238095237,0.4357142857142857,0.43914285714285717,0.00610304559485508,39
0.013091182708740235,0.002046728565744902,1.651698398590088,0.012060804907036227,3,2,uniform,"{'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.8480952380952381,0.8538095238095238,0.8590476190476191,0.8497619047619047,0.8592857142857143,0.8539999999999999,0.004610448549508443,10
0.012514781951904298,0.000572042390563791,1.6099712371826171,0.08348708550359289,3,2,distance,"{'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.8509523809523809,0.8557142857142858,0.8597619047619047,0.8530952380952381,0.8607142857142858,0.8560476190476191,0.003751341407853561,6
0.012165975570678712,0.00032548254052948373,9.59457483291626,0.09201971929006153,4,1,uniform,"{'n_neighbors': 4, 'p': 1, 'weights': 'uniform'}",0.39976190476190476,0.4066666666666667,0.41023809523809524,0.40166666666666667,0.4002380952380952,0.40371428571428575,0.00407859297245026,44
0.01178441047668457,4.7612518563473355e-05,9.39886908531189,0.09072437935947097,4,1,distance,"{'n_neighbors': 4, 'p': 1, 'weights': 'distance'}",0.43238095238095237,0.44547619047619047,0.44666666666666666,0.44166666666666665,0.4369047619047619,0.4406190476190476,0.005346497359356446,38
0.01191253662109375,7.596322740104638e-05,1.6501972675323486,0.010073426053023195,4,2,uniform,"{'n_neighbors': 4, 'p': 2, 'weights': 'uniform'}",0.8507142857142858,0.8526190476190476,0.8566666666666667,0.8488095238095238,0.8521428571428571,0.8521904761904763,0.002601238149285276,14
0.012127113342285157,0.0005303946842183368,1.5985656261444092,0.06769296648231986,4,2,distance,"{'n_neighbors': 4, 'p': 2, 'weights': 'distance'}",0.8535714285714285,0.8583333333333333,0.8628571428571429,0.8542857142857143,0.8623809523809524,0.8582857142857143,0.0038960413655395763,2
0.011879396438598634,0.00011856298723850094,9.533485174179077,0.09385947680985622,5,1,uniform,"{'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.39666666666666667,0.40714285714285714,0.4033333333333333,0.39904761904761904,0.39666666666666667,0.4005714285714285,0.004089697248301691,45
0.011826038360595703,0.00015143345191856648,9.429559707641602,0.09508934779251524,5,1,distance,"{'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.4026190476190476,0.4123809523809524,0.4083333333333333,0.40523809523809523,0.4038095238095238,0.40647619047619044,0.003516723892883207,42
0.012379837036132813,0.00101034302769094,1.6625311851501465,0.009076277982316753,5,2,uniform,"{'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.8502380952380952,0.8590476190476191,0.8635714285714285,0.85,0.8585714285714285,0.8562857142857144,0.005329505429016261,5
