mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
23.68089656829834,0.20213074602899994,10.67687635421753,0.02110734833327184,5,0.005,"{'C': 5, 'gamma': 0.005}",0.8857142857142857,0.8878571428571429,0.8866666666666667,0.89,0.885,0.8870476190476191,0.001759973201197756,45
27.26165642738342,0.5044115206249951,11.532842350006103,0.09916671721031385,5,0.01,"{'C': 5, 'gamma': 0.01}",0.8895238095238095,0.8885714285714286,0.8869047619047619,0.8928571428571429,0.8919047619047619,0.889952380952381,0.0021738499448597007,38
31.56304235458374,0.34166286550050456,12.663536834716798,0.10732929905721916,5,0.015,"{'C': 5, 'gamma': 0.015}",0.8911904761904762,0.8911904761904762,0.8873809523809524,0.893095238095238,0.8933333333333333,0.8912380952380952,0.002131717074818978,37
37.23231401443481,0.5005299180795811,13.472242212295532,0.0882775781596894,5,0.02,"{'C': 5, 'gamma': 0.02}",0.8926190476190476,0.8916666666666667,0.8919047619047619,0.8954761904761904,0.8954761904761904,0.8934285714285715,0.001701006771380136,31
43.11938862800598,0.5133173225316326,14.147391080856323,0.04606629462111111,5,0.025,"{'C': 5, 'gamma': 0.025}",0.8945238095238095,0.8919047619047619,0.8933333333333333,0.8961904761904762,0.8995238095238095,0.8950952380952379,0.002623805202658276,19
48.63819599151611,1.0939067556095885,14.76896014213562,0.17931749246070253,5,0.030000000000000002,"{'C': 5, 'gamma': 0.030000000000000002}",0.8957142857142857,0.8928571428571429,0.8935714285714286,0.8966666666666666,0.9007142857142857,0.8959047619047619,0.00277419269783417,7
54.6615074634552,0.5346527902897449,15.595726013183594,0.32279840107632174,5,0.034999999999999996,"{'C': 5, 'gamma': 0.034999999999999996}",0.895,0.8945238095238095,0.895952380952381,0.8964285714285715,0.9014285714285715,0.8966666666666667,0.0024743582965269842,1
61.43942408561706,2.1874387037439873,16.31093487739563,0.23314075954691302,5,0.04,"{'C': 5, 'gamma': 0.04}",0.8957142857142857,0.8947619047619048,0.8942857142857142,0.8952380952380953,0.8983333333333333,0.8956666666666665,0.0014158160711731918,13
69.282062292099,0.854320327989871,16.901558017730714,0.07849904560349168,5,0.045,"{'C': 5, 'gamma': 0.045}",0.895,0.8942857142857142,0.8935714285714286,0.893095238095238,0.8985714285714286,0.8949047619047619,0.001943650631615113,25
24.66352286338806,0.5004574873485919,10.650932550430298,0.07956741941995611,7,0.005,"{'C': 7, 'gamma': 0.005}",0.8852380952380953,0.8861904761904762,0.8871428571428571,0.8888095238095238,0.8869047619047619,0.8868571428571428,0.0011799534946060782,46
27.243801879882813,0.6501100814793886,11.719397258758544,0.1644835310240349,7,0.01,"{'C': 7, 'gamma': 0.01}",0.8864285714285715,0.8871428571428571,0.885,0.8933333333333333,0.8892857142857142,0.8882380952380953,0.0028989011914713043,44
31.691725969314575,0.5000145366246519,12.682110786437988,0.11458022573018088,7,0.015,"{'C': 7, 'gamma': 0.015}",0.8878571428571429,0.8883333333333333,0.8873809523809524,0.8933333333333333,0.8921428571428571,0.8898095238095237,0.002439285423783929,39
38.75039734840393,1.7295136342834092,13.713142728805542,0.3553056679877594,7,0.02,"{'C': 7, 'gamma': 0.02}",0.8926190476190476,0.8909523809523809,0.8923809523809524,0.8947619047619048,0.895,0.8931428571428572,0.0015312319229346264,36
44.81881914138794,0.5815111327235479,14.26188611984253,0.07936298928325874,7,0.025,"{'C': 7, 'gamma': 0.025}",0.8942857142857142,0.8914285714285715,0.893095238095238,0.8964285714285715,0.9002380952380953,0.8950952380952379,0.0030438965360946634,19
52.51647653579712,2.041585686370614,14.904088306427003,0.11767572691537252,7,0.030000000000000002,"{'C': 7, 'gamma': 0.030000000000000002}",0.8952380952380953,0.8926190476190476,0.8935714285714286,0.8966666666666666,0.9007142857142857,0.8957619047619048,0.0028388302020550056,8
59.57477598190307,4.00299158744012,15.69325122833252,0.1467223797316413,7,0.034999999999999996,"{'C': 7, 'gamma': 0.034999999999999996}",0.895,0.8945238095238095,0.895952380952381,0.8964285714285715,0.9014285714285715,0.8966666666666667,0.0024743582965269842,1
63.27504224777222,0.677618166006699,16.176003313064577,0.10688760826183895,7,0.04,"{'C': 7, 'gamma': 0.04}",0.8957142857142857,0.8947619047619048,0.8942857142857142,0.8952380952380953,0.8983333333333333,0.8956666666666665,0.0014158160711731918,13
72.2244152545929,1.756083273121148,17.15427737236023,0.143484481455738,7,0.045,"{'C': 7, 'gamma': 0.045}",0.895,0.8942857142857142,0.8935714285714286,0.893095238095238,0.8985714285714286,0.8949047619047619,0.001943650631615113,25
24.805382919311523,0.8535916881194913,10.769710445404053,0.146666883184485,9,0.005,"{'C': 9, 'gamma': 0.005}",0.8838095238095238,0.8835714285714286,0.8866666666666667,0.8873809523809524,0.8840476190476191,0.8850952380952382,0.001597901117672625,50
28.262583923339843,0.7423488245745232,11.888696002960206,0.1649659369035011,9,0.01,"{'C': 9, 'gamma': 0.01}",0.8847619047619047,0.8873809523809524,0.8823809523809524,0.8907142857142857,0.8883333333333333,0.8867142857142858,0.002886358563941274,47
32.343676805496216,0.668220461399873,12.68490285873413,0.09885403972574477,9,0.015,"{'C': 9, 'gamma': 0.015}",0.888095238095238,0.8878571428571429,0.8869047619047619,0.8916666666666667,0.8909523809523809,0.8890952380952382,0.0018650624788158438,40
