mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_criterion,param_max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
27.50980415344238,1.1913836486969525,0.007504844665527343,0.0044254142270208656,0,gini,,"{'ccp_alpha': 0, 'criterion': 'gini', 'max_features': None}",0.7390476190476191,0.7307142857142858,0.7357142857142858,0.7397619047619047,0.7340476190476191,0.7358571428571429,0.0033217485764943204,13
0.7200758934020997,0.04403268353672307,0.004090547561645508,0.0009655515990577182,0,gini,sqrt,"{'ccp_alpha': 0, 'criterion': 'gini', 'max_features': 'sqrt'}",0.45666666666666667,0.4680952380952381,0.45476190476190476,0.49714285714285716,0.48214285714285715,0.4717619047619047,0.01601416606443274,20
0.2839064121246338,0.011446627906485558,0.003653812408447266,0.0002578450097581501,0,gini,log2,"{'ccp_alpha': 0, 'criterion': 'gini', 'max_features': 'log2'}",0.29095238095238096,0.30642857142857144,0.24595238095238095,0.32047619047619047,0.2785714285714286,0.28847619047619044,0.025529583568640688,33
29.479731178283693,0.6497087344506285,0.005514907836914063,0.00365055333250367,0,entropy,,"{'ccp_alpha': 0, 'criterion': 'entropy', 'max_features': None}",0.7459523809523809,0.7376190476190476,0.7397619047619047,0.7471428571428571,0.7509523809523809,0.7442857142857142,0.004904993059740218,8
1.4656076908111573,0.05127110978162962,0.0035062789916992187,0.0002136841116207574,0,entropy,sqrt,"{'ccp_alpha': 0, 'criterion': 'entropy', 'max_features': 'sqrt'}",0.46214285714285713,0.4816666666666667,0.48,0.4897619047619048,0.4957142857142857,0.4818571428571429,0.011372282013120375,18
0.6331486225128173,0.025255607267717913,0.0037340641021728514,0.0003430474157397051,0,entropy,log2,"{'ccp_alpha': 0, 'criterion': 'entropy', 'max_features': 'log2'}",0.24833333333333332,0.31833333333333336,0.2785714285714286,0.2980952380952381,0.3219047619047619,0.29304761904761906,0.027226854157276194,31
28.836314153671264,0.31624703199400683,0.004470539093017578,0.001218685996270907,0,log_loss,,"{'ccp_alpha': 0, 'criterion': 'log_loss', 'max_features': None}",0.7459523809523809,0.7376190476190476,0.7397619047619047,0.7471428571428571,0.7509523809523809,0.7442857142857142,0.004904993059740218,8
1.4675585746765136,0.049034833214365255,0.003400564193725586,7.793392437128899e-05,0,log_loss,sqrt,"{'ccp_alpha': 0, 'criterion': 'log_loss', 'max_features': 'sqrt'}",0.46214285714285713,0.4816666666666667,0.48,0.4897619047619048,0.4957142857142857,0.4818571428571429,0.011372282013120375,18
0.6298431873321533,0.02596730142083489,0.0034245967864990233,1.6399593844399704e-05,0,log_loss,log2,"{'ccp_alpha': 0, 'criterion': 'log_loss', 'max_features': 'log2'}",0.24833333333333332,0.31833333333333336,0.2785714285714286,0.2980952380952381,0.3219047619047619,0.29304761904761906,0.027226854157276194,31
27.470269680023193,1.3155599877839574,0.003248119354248047,0.00018125248394633553,0.001,gini,,"{'ccp_alpha': 0.001, 'criterion': 'gini', 'max_features': None}",0.770952380952381,0.775952380952381,0.7666666666666667,0.77,0.775952380952381,0.7719047619047619,0.003598311521392851,3
0.7331587314605713,0.01997093623265527,0.0030076026916503905,0.0001903788343182078,0.001,gini,sqrt,"{'ccp_alpha': 0.001, 'criterion': 'gini', 'max_features': 'sqrt'}",0.4226190476190476,0.43714285714285717,0.3830952380952381,0.49047619047619045,0.42428571428571427,0.43152380952380953,0.034594705531246404,23
0.3571500778198242,0.015433150313555022,0.003015422821044922,0.00032279179994402384,0.001,gini,log2,"{'ccp_alpha': 0.001, 'criterion': 'gini', 'max_features': 'log2'}",0.27476190476190476,0.2842857142857143,0.21761904761904763,0.2788095238095238,0.22523809523809524,0.2561428571428571,0.02860648642807496,37
28.795238256454468,0.294944530439421,0.0035243988037109374,0.00016839128702332906,0.001,entropy,,"{'ccp_alpha': 0.001, 'criterion': 'entropy', 'max_features': None}",0.7857142857142857,0.7733333333333333,0.7659523809523809,0.7802380952380953,0.7814285714285715,0.7773333333333334,0.006942262695826817,1
1.4912195682525635,0.0463218316803561,0.0032090187072753907,0.0002672146082659948,0.001,entropy,sqrt,"{'ccp_alpha': 0.001, 'criterion': 'entropy', 'max_features': 'sqrt'}",0.49238095238095236,0.5238095238095238,0.5135714285714286,0.5330952380952381,0.5326190476190477,0.5190952380952382,0.01513461890311097,16
0.7155909538269043,0.03648841549706194,0.0030820369720458984,0.00010498423122577832,0.001,entropy,log2,"{'ccp_alpha': 0.001, 'criterion': 'entropy', 'max_features': 'log2'}",0.26095238095238094,0.3466666666666667,0.3047619047619048,0.32452380952380955,0.33285714285714285,0.3139523809523809,0.029775273188067254,29
28.79911732673645,0.26948168364595426,0.004092025756835938,0.0007036254153129424,0.001,log_loss,,"{'ccp_alpha': 0.001, 'criterion': 'log_loss', 'max_features': None}",0.7857142857142857,0.7733333333333333,0.7659523809523809,0.7802380952380953,0.7814285714285715,0.7773333333333334,0.006942262695826817,1
1.495213794708252,0.055167785922538716,0.003048229217529297,1.7650319194614867e-05,0.001,log_loss,sqrt,"{'ccp_alpha': 0.001, 'criterion': 'log_loss', 'max_features': 'sqrt'}",0.49238095238095236,0.5238095238095238,0.5135714285714286,0.5330952380952381,0.5326190476190477,0.5190952380952382,0.01513461890311097,16
